loan_amount,income,interest_rate,loan_to_value_ratio,debt_to_income_ratio,property_value,loan_term,applicant_age,derived_race,derived_sex,derived_ethnicity,action_taken,target
135000,129,,125.69,48,225000,480,35-44,Race Not Available,Female,Ethnicity Not Available,3,0
155000,90,,77.459,50%-60%,755000,180,25-34,White,Female,Not Hispanic or Latino,3,0
585000,422,,100,38,585000,360,25-34,White,Joint,Not Hispanic or Latino,3,0
35000,132,,83.999,20%-<30%,305000,180,35-44,White,Male,Not Hispanic or Latino,3,0
335000,34,,85,>60%,395000,360,35-44,Asian,Male,Not Hispanic or Latino,3,0
145000,59,,78.919,40,185000,360,55-64,Race Not Available,Male,Ethnicity Not Available,3,0
25000,133,,74.27,30%-<36%,365000,360,35-44,American Indian or Alaska Native,Joint,Hispanic or Latino,3,0
35000,144,,85.588,30%-<36%,375000,240,35-44,Black or African American,Female,Not Hispanic or Latino,3,0
45000,120,,33.07,20%-<30%,495000,360,45-54,White,Female,Not Hispanic or Latino,3,0
45000,142,,64.808,46,535000,240,65-74,White,Joint,Not Hispanic or Latino,3,0
55000,73,,75.347,46,285000,180,25-34,White,Female,Not Hispanic or Latino,3,0
275000,64,,55,50%-60%,505000,360,45-54,White,Female,Not Hispanic or Latino,3,0
185000,31,,84.47,>60%,475000,360,35-44,Black or African American,Female,Not Hispanic or Latino,3,0
155000,102,,93.75,41,165000,360,45-54,White,Joint,Not Hispanic or Latino,3,0
25000,48,,55.499,>60%,525000,480,45-54,Race Not Available,Female,Ethnicity Not Available,3,0
325000,172,,90,50%-60%,365000,360,45-54,Black or African American,Male,Not Hispanic or Latino,3,0
15000,38,,105.828,50%-60%,95000,360,35-44,White,Female,Not Hispanic or Latino,3,0
75000,23,,,>60%,,120,55-64,White,Female,Not Hispanic or Latino,3,0
235000,65,,80,30%-<36%,255000,360,35-44,Race Not Available,Sex Not Available,Ethnicity Not Available,3,0
5000,31,,,20%-<30%,,360,65-74,Race Not Available,Sex Not Available,Ethnicity Not Available,3,0
165000,136,,95.34,>60%,775000,360,35-44,Asian,Male,Not Hispanic or Latino,3,0
225000,,Exempt,Exempt,Exempt,Exempt,Exempt,8888,Race Not Available,Sex Not Available,Ethnicity Not Available,3,0
75000,128,,89.862,43,665000,360,25-34,White,Female,Not Hispanic or Latino,3,0
235000,111,,92.97,38,255000,360,35-44,Race Not Available,Joint,Ethnicity Not Available,3,0
25000,114,,,>60%,,,55-64,Race Not Available,Male,Ethnicity Not Available,3,0
155000,96,,98.508,>60%,585000,360,55-64,White,Male,Not Hispanic or Latino,3,0
155000,90,,55,20%-<30%,275000,360,55-64,Black or African American,Female,Not Hispanic or Latino,3,0
175000,92,,80,20%-<30%,,180,<25,White,Male,Not Hispanic or Latino,3,0
75000,55,,65,>60%,405000,360,25-34,Black or African American,Male,Not Hispanic or Latino,3,0
135000,99,,102.739,>60%,365000,360,35-44,Asian,Male,Not Hispanic or Latino,3,0
255000,46,,41.83,>60%,1105000,360,45-54,White,Joint,Not Hispanic or Latino,3,0
485000,185,,100,20%-<30%,485000,360,45-54,Black or African American,Male,Not Hispanic or Latino,3,0
405000,2200,,90.3,<20%,1705000,360,35-44,White,Male,Not Hispanic or Latino,3,0
305000,67,,35.294,>60%,855000,360,55-64,Asian,Male,Not Hispanic or Latino,3,0
65000,80,,,50%-60%,,300,35-44,White,Male,Not Hispanic or Latino,3,0
75000,142,,16.234,20%-<30%,465000,360,25-34,Black or African American,Female,Hispanic or Latino,3,0
105000,42,,39.49,>60%,555000,300,55-64,White,Female,Not Hispanic or Latino,3,0
55000,131,,,50%-60%,255000,240,45-54,Black or African American,Joint,Not Hispanic or Latino,3,0
245000,61,,68.571,48,355000,372,35-44,White,Male,Hispanic or Latino,3,0
115000,34,,31.973,>60%,345000,360,35-44,Race Not Available,Joint,Hispanic or Latino,3,0
365000,407,Exempt,Exempt,Exempt,Exempt,Exempt,65-74,White,Joint,Not Hispanic or Latino,3,0
35000,19,,26.907,>60%,555000,300,65-74,White,Female,Not Hispanic or Latino,3,0
555000,,,,,,360,8888,White,Female,Not Hispanic or Latino,3,0
125000,39,,67.59,>60%,295000,360,55-64,White,Female,Not Hispanic or Latino,3,0
75000,144,,89.524,>60%,525000,360,55-64,White,Male,Hispanic or Latino,3,0
45000,76,,57.143,20%-<30%,75000,64,25-34,Black or African American,Joint,Not Hispanic or Latino,3,0
305000,73,,61.81,>60%,955000,360,35-44,White,Female,Not Hispanic or Latino,3,0
135000,104,,103.077,40,135000,240,35-44,White,Joint,Not Hispanic or Latino,3,0
65000,102,,54.447,50%-60%,335000,120,55-64,Race Not Available,Female,Not Hispanic or Latino,3,0
115000,167,,46,20%-<30%,255000,180,55-64,White,Joint,Not Hispanic or Latino,3,0
105000,130,,30.79,50%-60%,1305000,360,55-64,White,Joint,Not Hispanic or Latino,3,0
105000,45,,19.8,>60%,505000,360,>74,White,Female,Not Hispanic or Latino,3,0
235000,139,,80,20%-<30%,285000,360,45-54,Asian,Joint,Not Hispanic or Latino,3,0
1005000,180,,80.68,>60%,2005000,360,55-64,Asian,Female,Not Hispanic or Latino,3,0
275000,82,,85,>60%,325000,360,45-54,White,Female,Not Hispanic or Latino,3,0
25000,106,,37.5,<20%,125000,60,25-34,White,Female,Not Hispanic or Latino,3,0
695000,154,,95,47,725000,360,55-64,Race Not Available,Male,Hispanic or Latino,3,0
155000,92,,70.1,>60%,635000,360,>74,White,Joint,Not Hispanic or Latino,3,0
65000,82,,67.41,48,335000,360,65-74,White,Male,Hispanic or Latino,3,0
35000,41,,17.647,>60%,175000,180,45-54,Race Not Available,Female,Ethnicity Not Available,3,0
355000,728,,39.36,20%-<30%,2505000,360,55-64,Asian,Male,Not Hispanic or Latino,3,0
505000,443,,31.25,30%-<36%,1605000,360,45-54,Joint,Joint,Not Hispanic or Latino,3,0
345000,58,,,>60%,265000,360,45-54,Race Not Available,Female,Ethnicity Not Available,3,0
55000,125,,80,20%-<30%,75000,180,65-74,White,Female,Not Hispanic or Latino,3,0
245000,52,,71.695,>60%,335000,360,55-64,White,Male,Not Hispanic or Latino,3,0
95000,170,,,30%-<36%,,232,55-64,White,Sex Not Available,Ethnicity Not Available,3,0
75000,99,,53.838,>60%,485000,360,55-64,White,Joint,Hispanic or Latino,3,0
45000,184,,81.74,20%-<30%,515000,360,35-44,Race Not Available,Male,Ethnicity Not Available,3,0
355000,36,,82.254,>60%,905000,480,45-54,White,Male,Not Hispanic or Latino,3,0
65000,165,,82.183,30%-<36%,435000,480,35-44,White,Male,Not Hispanic or Latino,3,0
85000,51,,82.99,50%-60%,95000,180,25-34,White,Joint,Not Hispanic or Latino,3,0
75000,244,,99.338,20%-<30%,305000,360,55-64,White,Female,Not Hispanic or Latino,3,0
35000,226,,77.066,<20%,415000,60,45-54,Joint,Joint,Not Hispanic or Latino,3,0
35000,113,,97.84,45,415000,360,55-64,Black or African American,Female,Not Hispanic or Latino,3,0
55000,58,,60.61,>60%,505000,360,35-44,White,Male,Hispanic or Latino,3,0
105000,118,,35.09,<20%,285000,300,65-74,White,Joint,Not Hispanic or Latino,3,0
75000,24,,88.887,>60%,655000,300,55-64,Black or African American,Male,Not Hispanic or Latino,3,0
65000,83,,38.217,50%-60%,155000,360,35-44,White,Male,Not Hispanic or Latino,3,0
75000,100,,80,>60%,495000,360,35-44,White,Male,Not Hispanic or Latino,3,0
55000,138,,86.353,>60%,855000,60,45-54,Race Not Available,Male,Ethnicity Not Available,3,0
5000,90,,,<20%,,300,>74,White,Male,Ethnicity Not Available,3,0
15000,68,,3.544,50%-60%,415000,121,55-64,Race Not Available,Sex Not Available,Ethnicity Not Available,3,0
35000,160,,3.75,37,805000,360,35-44,Race Not Available,Female,Ethnicity Not Available,3,0
165000,267,,70,37,675000,360,35-44,Asian,Joint,Not Hispanic or Latino,3,0
205000,47,,12.87,43,1555000,300,>74,Race Not Available,Female,Ethnicity Not Available,3,0
35000,40,,84.008,42,175000,180,>74,White,Female,Not Hispanic or Latino,3,0
95000,75,,72.271,>60%,605000,360,55-64,White,Male,Hispanic or Latino,3,0
105000,0,,77.72,>60%,715000,360,35-44,Race Not Available,Sex Not Available,Ethnicity Not Available,3,0
275000,152,,80.882,>60%,345000,360,45-54,Black or African American,Female,Not Hispanic or Latino,3,0
95000,29,,47.5,30%-<36%,205000,360,45-54,Race Not Available,Male,Not Hispanic or Latino,3,0
215000,154,,79.925,>60%,265000,300,25-34,White,Joint,Hispanic or Latino,3,0
85000,78,,56.667,38,155000,360,>74,Black or African American,Female,Not Hispanic or Latino,3,0
45000,64,,34.583,40,485000,72,55-64,White,Male,Hispanic or Latino,3,0
55000,25,,7.813,>60%,645000,360,>74,White,Female,Not Hispanic or Latino,3,0
75000,81,,87.302,50%-60%,315000,360,45-54,White,Female,Not Hispanic or Latino,3,0
445000,87,,96.5,50%-60%,455000,360,45-54,Black or African American,Male,Not Hispanic or Latino,3,0
35000,29,Exempt,Exempt,Exempt,Exempt,Exempt,55-64,White,Female,Not Hispanic or Latino,3,0
125000,8,,44.964,>60%,275000,360,45-54,White,Male,Not Hispanic or Latino,3,0
35000,91,,68.856,50%-60%,405000,120,35-44,White,Male,Not Hispanic or Latino,3,0
205000,269,,88.93,>60%,1025000,360,25-34,Asian,Male,Not Hispanic or Latino,3,0
55000,124,,63.1,50%-60%,165000,360,35-44,Black or African American,Joint,Not Hispanic or Latino,3,0
35000,38,,49.319,50%-60%,235000,180,35-44,White,Male,Not Hispanic or Latino,3,0
25000,67,,102.143,46,285000,360,55-64,Black or African American,Male,Not Hispanic or Latino,3,0
295000,140,,100,50%-60%,295000,360,35-44,Race Not Available,Joint,Ethnicity Not Available,3,0
125000,69,,34.02,50%-60%,365000,360,65-74,White,Male,Not Hispanic or Latino,3,0
65000,192,,74.903,37,505000,180,65-74,Asian,Joint,Not Hispanic or Latino,3,0
115000,41,,34.67,>60%,315000,360,45-54,White,Female,Not Hispanic or Latino,3,0
75000,71,,70,20%-<30%,115000,360,45-54,White,Female,Not Hispanic or Latino,3,0
345000,104,,,50%-60%,,360,25-34,White,Joint,Not Hispanic or Latino,3,0
245000,92,,,,755000,,25-34,Race Not Available,Male,Hispanic or Latino,3,0
45000,45,,98.18,20%-<30%,45000,360,35-44,White,Female,Not Hispanic or Latino,3,0
75000,180,,46.67,41,1805000,360,45-54,Race Not Available,Male,Hispanic or Latino,3,0
35000,116,,86.783,44,335000,360,55-64,White,Male,Not Hispanic or Latino,3,0
55000,107,,35.7,20%-<30%,465000,360,45-54,White,Joint,Ethnicity Not Available,3,0
55000,245,,62.6,30%-<36%,505000,360,25-34,White,Joint,Not Hispanic or Latino,3,0
65000,816,,,,355000,180,45-54,Race Not Available,Sex Not Available,Ethnicity Not Available,3,0
105000,225,,51.053,>60%,955000,12,55-64,White,Joint,Not Hispanic or Latino,3,0
45000,78,,89.262,30%-<36%,245000,480,<25,White,Female,Not Hispanic or Latino,3,0
105000,280,,85.54,20%-<30%,855000,360,35-44,Asian,Male,Not Hispanic or Latino,3,0
45000,111,,57.549,49,355000,180,45-54,White,Male,Not Hispanic or Latino,3,0
185000,73,,80,46,225000,360,35-44,Black or African American,Female,Not Hispanic or Latino,3,0
105000,,,,,,300,35-44,White,Male,Hispanic or Latino,3,0
65000,214,,104.874,20%-<30%,415000,360,35-44,Race Not Available,Male,Ethnicity Not Available,3,0
525000,240,,33.63,44,1565000,360,35-44,Asian,Joint,Not Hispanic or Latino,3,0
115000,125,,89.75,50%-60%,535000,360,35-44,White,Male,Not Hispanic or Latino,3,0
355000,72,,95,>60%,375000,240,35-44,Race Not Available,Sex Not Available,Ethnicity Not Available,3,0
465000,6,,86.981,>60%,535000,360,45-54,Black or African American,Sex Not Available,Joint,3,0
655000,192,,89.989,50%-60%,915000,360,45-54,White,Male,Not Hispanic or Latino,3,0
605000,655,,70,42,865000,360,65-74,Asian,Joint,Not Hispanic or Latino,3,0
215000,162,,100,<20%,215000,360,55-64,Black or African American,Joint,Not Hispanic or Latino,3,0
25000,,,,>60%,,60,25-34,White,Female,Not Hispanic or Latino,3,0
115000,48,,95,48,115000,360,25-34,White,Male,Not Hispanic or Latino,3,0
105000,91,,78.596,>60%,605000,300,>74,Race Not Available,Male,Not Hispanic or Latino,3,0
145000,245,,29.583,41,485000,360,45-54,White,Male,Ethnicity Not Available,3,0
185000,56,,95,48,195000,360,35-44,American Indian or Alaska Native,Female,Hispanic or Latino,3,0
75000,45,,69.667,>60%,395000,180,35-44,Black or African American,Female,Not Hispanic or Latino,3,0
475000,321,,80.09,50%-60%,1805000,360,65-74,Asian,Male,Not Hispanic or Latino,3,0
45000,162,,98.76,30%-<36%,405000,360,45-54,Race Not Available,Sex Not Available,Ethnicity Not Available,3,0
385000,240,,80.47,38,1515000,360,55-64,White,Male,Not Hispanic or Latino,3,0
385000,90,,80,50%-60%,475000,312,>74,White,Joint,Not Hispanic or Latino,3,0
65000,174,,84.887,48,955000,360,45-54,White,Male,Not Hispanic or Latino,3,0
235000,104,,61.974,20%-<30%,385000,360,65-74,White,Joint,Not Hispanic or Latino,3,0
205000,87,,79.78,50%-60%,565000,360,45-54,Race Not Available,Male,Ethnicity Not Available,3,0
55000,88,,74.358,>60%,455000,240,65-74,White,Joint,Not Hispanic or Latino,3,0
85000,40,,50.345,45,175000,360,35-44,White,Female,Not Hispanic or Latino,3,0
85000,24,,38.863,40,215000,360,>74,Black or African American,Female,Not Hispanic or Latino,3,0
605000,90,,70.59,>60%,855000,360,35-44,White,Female,Not Hispanic or Latino,3,0
205000,92,,100,20%-<30%,205000,360,<25,Joint,Joint,Not Hispanic or Latino,3,0
115000,89,,87.077,50%-60%,615000,360,35-44,White,Female,Not Hispanic or Latino,3,0
735000,411,,,,,,45-54,Black or African American,Female,Not Hispanic or Latino,3,0
115000,62,,41.288,49,265000,360,65-74,Black or African American,Joint,Not Hispanic or Latino,3,0
255000,113,,69.61,48,875000,180,45-54,White,Male,Not Hispanic or Latino,3,0
255000,0,,45.17,>60%,1345000,360,55-64,White,Male,Not Hispanic or Latino,3,0
85000,55,,93.973,>60%,365000,360,35-44,White,Male,Not Hispanic or Latino,3,0
205000,71,,95,43,225000,360,45-54,White,Male,Not Hispanic or Latino,3,0
335000,57,,62.584,>60%,545000,360,>74,Race Not Available,Male,Ethnicity Not Available,3,0
295000,93,,,,,360,45-54,White,Female,Not Hispanic or Latino,3,0
235000,72,,79.94,50%-60%,295000,360,65-74,Joint,Joint,Not Hispanic or Latino,3,0
45000,80,,96.537,50%-60%,215000,480,55-64,White,Female,Not Hispanic or Latino,3,0
195000,36,,91.553,43,215000,360,55-64,White,Male,Not Hispanic or Latino,3,0
255000,58,,98.022,39,265000,360,35-44,Black or African American,Female,Not Hispanic or Latino,3,0
505000,174,,43.14,>60%,1855000,300,45-54,Race Not Available,Joint,Ethnicity Not Available,3,0
85000,,Exempt,Exempt,Exempt,Exempt,Exempt,8888,Race Not Available,Sex Not Available,Ethnicity Not Available,3,0
35000,42,,95.31,>60%,165000,360,45-54,White,Joint,Not Hispanic or Latino,3,0
175000,38,,,50%-60%,225000,360,>74,White,Joint,Not Hispanic or Latino,3,0
195000,296,,87.33,48,595000,300,35-44,White,Joint,Not Hispanic or Latino,3,0
155000,57,,100.302,37,155000,360,65-74,White,Female,Not Hispanic or Latino,3,0
115000,38,,46.071,50%-60%,245000,240,>74,White,Female,Not Hispanic or Latino,3,0
35000,130,,42.373,>60%,595000,72,45-54,White,Male,Not Hispanic or Latino,3,0
45000,48,,,,,360,35-44,White,Male,Not Hispanic or Latino,3,0
215000,99,,67.061,>60%,975000,480,35-44,White,Male,Hispanic or Latino,3,0
155000,113,,79.072,>60%,755000,360,45-54,Asian,Male,Not Hispanic or Latino,3,0
35000,38,Exempt,Exempt,Exempt,Exempt,Exempt,45-54,Black or African American,Male,Not Hispanic or Latino,3,0
35000,120,,80,50%-60%,875000,240,45-54,Black or African American,Female,Not Hispanic or Latino,3,0
35000,52,,23.333,>60%,155000,360,45-54,White,Male,Hispanic or Latino,3,0
265000,57,Exempt,Exempt,Exempt,Exempt,Exempt,55-64,White,Joint,Not Hispanic or Latino,3,0
65000,34,,82.332,>60%,315000,480,55-64,Black or African American,Male,Not Hispanic or Latino,3,0
85000,38,,53.369,20%-<30%,145000,360,65-74,Race Not Available,Female,Not Hispanic or Latino,3,0
85000,71,,80,20%-<30%,175000,120,55-64,White,Male,Not Hispanic or Latino,3,0
65000,10,,42.35,>60%,855000,360,65-74,Race Not Available,Male,Hispanic or Latino,3,0
255000,850,,133.139,<20%,485000,480,45-54,Black or African American,Male,Joint,3,0
15000,50,,18.75,44,85000,110,35-44,Black or African American,Female,Hispanic or Latino,3,0
255000,290,,60.829,50%-60%,2805000,360,65-74,White,Male,Not Hispanic or Latino,3,0
45000,98,,101.464,20%-<30%,425000,480,25-34,Black or African American,Female,Not Hispanic or Latino,3,0
115000,144,,,45,,180,35-44,White,Female,Not Hispanic or Latino,3,0
25000,35,,56.667,<20%,125000,360,35-44,White,Male,Not Hispanic or Latino,3,0
125000,162,,96.18,30%-<36%,505000,180,35-44,White,Joint,Joint,3,0
345000,133,,92.74,50%-60%,425000,360,35-44,American Indian or Alaska Native,Female,Not Hispanic or Latino,3,0
65000,112,,79.77,50%-60%,435000,360,35-44,White,Joint,Not Hispanic or Latino,3,0
45000,31,,10.667,<20%,565000,360,55-64,White,Female,Not Hispanic or Latino,3,0
155000,78,,98.1,>60%,625000,360,45-54,White,Female,Not Hispanic or Latino,3,0
25000,99,,84.653,>60%,295000,360,35-44,White,Male,Not Hispanic or Latino,3,0
105000,171,,,,,360,55-64,White,Male,Not Hispanic or Latino,3,0
45000,62,,49.826,>60%,515000,240,35-44,Race Not Available,Sex Not Available,Ethnicity Not Available,3,0
45000,47,,46.231,30%-<36%,95000,360,25-34,White,Female,Not Hispanic or Latino,3,0
155000,129,,92.837,>60%,525000,360,55-64,Race Not Available,Female,Hispanic or Latino,3,0
2755000,327,,75,>60%,3675000,360,35-44,White,Male,Not Hispanic or Latino,3,0
45000,48,,29.63,<20%,135000,360,>74,White,Male,Not Hispanic or Latino,3,0
45000,180,,81.583,20%-<30%,565000,60,25-34,White,Male,Not Hispanic or Latino,3,0
45000,137,,77.468,42,335000,240,35-44,White,Male,Not Hispanic or Latino,3,0
155000,354,,85.809,20%-<30%,335000,180,35-44,Race Not Available,Joint,Ethnicity Not Available,3,0
365000,72,,97,50%-60%,385000,360,35-44,Black or African American,Female,Not Hispanic or Latino,3,0
105000,184,,63.61,50%-60%,1855000,360,35-44,Asian,Female,Not Hispanic or Latino,3,0
445000,6,,65,>60%,695000,360,35-44,Asian,Male,Not Hispanic or Latino,3,0
155000,112,,64.286,46,425000,360,45-54,Race Not Available,Male,Hispanic or Latino,3,0
155000,237,,99.559,30%-<36%,605000,360,35-44,White,Male,Not Hispanic or Latino,3,0
155000,50,,88.652,>60%,165000,360,45-54,Black or African American,Male,Not Hispanic or Latino,3,0
105000,384,,86.229,30%-<36%,825000,360,>74,White,Joint,Not Hispanic or Latino,3,0
675000,138,,71.263,>60%,955000,360,65-74,Asian,Joint,Not Hispanic or Latino,3,0
255000,145,,74.13,20%-<30%,395000,360,55-64,Asian,Male,Not Hispanic or Latino,3,0
55000,65,,78.109,50%-60%,215000,240,25-34,White,Female,Not Hispanic or Latino,3,0
155000,48,,54.596,50%-60%,275000,360,45-54,White,Female,Not Hispanic or Latino,3,0
155000,109,,55.636,20%-<30%,275000,180,45-54,White,Female,Hispanic or Latino,3,0
25000,26,,3.7,>60%,675000,360,65-74,White,Female,Hispanic or Latino,3,0
205000,225,,105.338,50%-60%,1295000,240,45-54,White,Male,Not Hispanic or Latino,3,0
75000,100,,83.333,20%-<30%,95000,360,35-44,Race Not Available,Sex Not Available,Ethnicity Not Available,3,0
75000,150,,79.998,44,725000,180,55-64,Joint,Joint,Not Hispanic or Latino,3,0
105000,77,,,,605000,180,55-64,White,Female,Not Hispanic or Latino,3,0
25000,200,,11.63,20%-<30%,215000,360,55-64,Asian,Male,Not Hispanic or Latino,3,0
255000,91,,82.404,>60%,595000,360,45-54,White,Joint,Not Hispanic or Latino,3,0
135000,26,,90.459,>60%,145000,360,55-64,White,Joint,Not Hispanic or Latino,3,0
65000,88,,80.692,50%-60%,565000,360,35-44,White,Male,Not Hispanic or Latino,3,0
125000,56,,77.27,>60%,485000,360,55-64,White,Joint,Hispanic or Latino,3,0
85000,59,,80,20%-<30%,105000,360,>74,White,Joint,Not Hispanic or Latino,3,0
95000,26,,35.926,50%-60%,275000,360,65-74,White,Female,Not Hispanic or Latino,3,0
175000,68,,60.984,40,285000,300,55-64,White,Male,Not Hispanic or Latino,3,0
345000,97,,80,38,415000,252,55-64,Race Not Available,Male,Ethnicity Not Available,3,0
105000,91,,87.263,50%-60%,395000,360,25-34,White,Joint,Not Hispanic or Latino,3,0
85000,49,,32.567,>60%,445000,360,65-74,White,Joint,Not Hispanic or Latino,3,0
325000,57,,95,>60%,335000,360,55-64,White,Joint,Not Hispanic or Latino,3,0
25000,113,,78.31,50%-60%,305000,60,35-44,White,Male,Not Hispanic or Latino,3,0
85000,5,,,,395000,,45-54,Black or African American,Male,Not Hispanic or Latino,3,0
25000,115,,81.034,20%-<30%,165000,360,25-34,White,Male,Not Hispanic or Latino,3,0
295000,78,,89.846,38,325000,372,<25,White,Joint,Not Hispanic or Latino,3,0
45000,154,,78.33,37,435000,360,45-54,White,Joint,Joint,3,0
