loan_amount,income,interest_rate,loan_to_value_ratio,debt_to_income_ratio,property_value,loan_term,applicant_age,derived_race,derived_sex,derived_ethnicity,action_taken,target
175000,93,,79.545,50%-60%,225000,180,25-34,Race Not Available,Sex Not Available,Ethnicity Not Available,3,0
245000,39,,36.154,>60%,655000,360,55-64,American Indian or Alaska Native,Male,Not Hispanic or Latino,3,0
235000,70,,76.667,43,305000,360,55-64,Race Not Available,Sex Not Available,Ethnicity Not Available,3,0
35000,31,,14,20%-<30%,255000,360,55-64,White,Joint,Not Hispanic or Latino,3,0
65000,32,,,20%-<30%,,360,55-64,White,Female,Not Hispanic or Latino,3,0
155000,47,,64.29,>60%,395000,360,35-44,White,Male,Not Hispanic or Latino,3,0
205000,333,,43.685,42,1755000,300,65-74,Black or African American,Joint,Not Hispanic or Latino,3,0
55000,137,,72.012,50%-60%,1005000,180,35-44,Race Not Available,Sex Not Available,Ethnicity Not Available,3,0
105000,686,,73.063,<20%,555000,300,55-64,White,Joint,Not Hispanic or Latino,3,0
605000,200,,83.916,40,715000,360,45-54,Black or African American,Male,Not Hispanic or Latino,3,0
75000,40,,61.93,50%-60%,255000,360,35-44,Black or African American,Female,Not Hispanic or Latino,3,0
135000,536,,100.151,<20%,605000,360,65-74,Asian,Male,Not Hispanic or Latino,3,0
105000,63,,67.45,>60%,575000,360,35-44,Free Form Text Only,Male,Hispanic or Latino,3,0
65000,41,,54.67,>60%,265000,360,55-64,Black or African American,Female,Not Hispanic or Latino,3,0
275000,43,,85.938,>60%,325000,360,65-74,Black or African American,Female,Not Hispanic or Latino,3,0
65000,47,,27.267,>60%,435000,180,45-54,White,Joint,Not Hispanic or Latino,3,0
265000,709,,67.582,20%-<30%,1105000,60,45-54,White,Joint,Not Hispanic or Latino,3,0
135000,16,,45.374,>60%,305000,180,55-64,Race Not Available,Sex Not Available,Ethnicity Not Available,3,0
305000,32,Exempt,Exempt,Exempt,Exempt,Exempt,55-64,White,Male,Not Hispanic or Latino,3,0
105000,285,,79.77,20%-<30%,1225000,360,25-34,White,Joint,Not Hispanic or Latino,3,0
55000,196,,80.314,30%-<36%,455000,360,35-44,Race Not Available,Sex Not Available,Ethnicity Not Available,3,0
45000,50,,89.561,>60%,265000,240,25-34,Black or African American,Male,Not Hispanic or Latino,3,0
125000,272,Exempt,Exempt,Exempt,Exempt,Exempt,45-54,White,Male,Hispanic or Latino,3,0
505000,130,,84.88,50%-60%,655000,360,>74,Black or African American,Female,Not Hispanic or Latino,3,0
25000,52,,82.46,>60%,145000,360,45-54,White,Female,Hispanic or Latino,3,0
545000,131,,79.731,46,675000,360,35-44,White,Joint,Not Hispanic or Latino,3,0
455000,187,,61.43,50%-60%,735000,360,55-64,Race Not Available,Female,Hispanic or Latino,3,0
255000,2,,54.466,>60%,455000,360,55-64,White,Female,Not Hispanic or Latino,3,0
95000,36,,,50%-60%,,240,35-44,Black or African American,Female,Not Hispanic or Latino,3,0
65000,91,,71.012,>60%,365000,480,45-54,Black or African American,Female,Hispanic or Latino,3,0
825000,147,,87.242,>60%,955000,360,35-44,Asian,Joint,Not Hispanic or Latino,3,0
515000,79,,75,>60%,685000,360,45-54,Asian,Male,Not Hispanic or Latino,3,0
45000,150,,70.093,44,325000,60,55-64,White,Joint,Not Hispanic or Latino,3,0
55000,84,,78.22,>60%,695000,360,55-64,Asian,Male,Not Hispanic or Latino,3,0
105000,51,,25,20%-<30%,405000,360,55-64,White,Male,Not Hispanic or Latino,3,0
85000,250,,79.85,50%-60%,325000,360,45-54,Race Not Available,Male,Not Hispanic or Latino,3,0
325000,143,,80,>60%,405000,360,45-54,Black or African American,Male,Not Hispanic or Latino,3,0
15000,81,,92.5,<20%,85000,120,55-64,White,Joint,Not Hispanic or Latino,3,0
255000,725,,92.647,<20%,1415000,360,35-44,White,Male,Not Hispanic or Latino,3,0
85000,98,,16.667,20%-<30%,485000,,45-54,White,Joint,Hispanic or Latino,3,0
365000,73,,76.596,>60%,475000,360,45-54,Race Not Available,Sex Not Available,Ethnicity Not Available,3,0
155000,272,,85.624,50%-60%,705000,180,35-44,White,Joint,Joint,3,0
105000,414,,91.213,20%-<30%,815000,480,45-54,White,Joint,Not Hispanic or Latino,3,0
45000,226,,101.622,30%-<36%,425000,480,35-44,White,Joint,Not Hispanic or Latino,3,0
95000,64,,77.901,30%-<36%,125000,360,45-54,Black or African American,Male,Not Hispanic or Latino,3,0
55000,76,,73.56,50%-60%,255000,480,45-54,Black or African American,Female,Not Hispanic or Latino,3,0
55000,45,,75.237,30%-<36%,455000,240,35-44,Asian,Female,Hispanic or Latino,3,0
55000,120,,17.182,,295000,360,25-34,White,Joint,Not Hispanic or Latino,3,0
25000,70,,88.805,30%-<36%,255000,360,25-34,White,Female,Not Hispanic or Latino,3,0
55000,139,,54.587,30%-<36%,555000,24,35-44,White,Male,Not Hispanic or Latino,3,0
55000,103,,89.79774648,>60%,355000,300,35-44,White,Joint,Not Hispanic or Latino,3,0
95000,94,,100,,245000,360,35-44,American Indian or Alaska Native,Female,Hispanic or Latino,3,0
65000,49,,20.31,>60%,325000,360,55-64,White,Female,Hispanic or Latino,3,0
195000,0,,47.352,<20%,415000,360,35-44,White,Female,Not Hispanic or Latino,3,0
25000,40,,78.98,>60%,175000,300,55-64,Black or African American,Female,Not Hispanic or Latino,3,0
85000,140,,73.333,45,455000,360,45-54,White,Joint,Not Hispanic or Latino,3,0
155000,42,,89.497,>60%,175000,360,35-44,White,Male,Not Hispanic or Latino,3,0
65000,105,,78.454,47,835000,360,55-64,Race Not Available,Sex Not Available,Ethnicity Not Available,3,0
105000,94,,80,48,385000,180,45-54,White,Joint,Hispanic or Latino,3,0
25000,52,Exempt,Exempt,Exempt,Exempt,Exempt,45-54,White,Female,Hispanic or Latino,3,0
505000,327,,47.927,48,2005000,300,45-54,White,Joint,Not Hispanic or Latino,3,0
55000,108,,86.306,50%-60%,475000,240,55-64,Black or African American,Female,Not Hispanic or Latino,3,0
365000,57,,95,50%-60%,385000,360,25-34,Race Not Available,Joint,Hispanic or Latino,3,0
55000,96,,75.45,39,225000,360,45-54,Asian,Female,Not Hispanic or Latino,3,0
65000,62,,49.399,>60%,475000,180,35-44,White,Male,Not Hispanic or Latino,3,0
75000,139,,84.839,30%-<36%,425000,180,55-64,White,Joint,Not Hispanic or Latino,3,0
25000,20,,26.667,39,75000,360,45-54,White,Female,Not Hispanic or Latino,3,0
15000,,,5.128,>60%,195000,60,25-34,White,Female,Not Hispanic or Latino,3,0
15000,44,,85,50%-60%,,180,25-34,Black or African American,Female,Not Hispanic or Latino,3,0
25000,56,,82,50%-60%,205000,360,25-34,Black or African American,Female,Not Hispanic or Latino,3,0
145000,97,,59.07,>60%,235000,240,65-74,White,Male,Not Hispanic or Latino,3,0
65000,39,,21.818,>60%,275000,240,65-74,White,Male,Not Hispanic or Latino,3,0
695000,0,,100,<20%,675000,180,35-44,Race Not Available,Male,Ethnicity Not Available,3,0
25000,74,,15,20%-<30%,165000,120,45-54,White,Male,Not Hispanic or Latino,3,0
195000,66,,98.985,47,195000,360,45-54,White,Female,Not Hispanic or Latino,3,0
55000,238,,77.977,39,425000,360,55-64,White,Male,Not Hispanic or Latino,3,0
25000,115,,86.83,20%-<30%,395000,360,45-54,White,Female,Not Hispanic or Latino,3,0
